,Name,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,STL,BLK
205,LeBron James,35283.0,9669.0,9728.0,51.0,35.0,73.0,2058.0,981.0
115,Kevin Durant,23594.0,3611.0,6153.0,50.0,39.0,88.0,962.0,972.0
161,James Harden,23082.0,6169.0,5118.0,45.0,36.0,86.0,1414.0,501.0
96,Stephen Curry,18007.0,4922.0,3440.0,47.0,42.0,91.0,1266.0,162.0
316,Chris Paul,19758.0,10161.0,4881.0,47.0,37.0,88.0,2317.0,145.0
11,Carmelo Anthony,29190.0,3561.0,8052.0,44.0,34.0,81.0,1238.0,635.0
167,Tobias Harris,15716.0,2098.0,5979.0,47.0,35.0,83.0,719.0,501.0
408,Russell Westbrook,21514.0,7855.0,6778.0,44.0,30.0,78.0,1603.0,288.0
141,Rudy Gay,19571.0,2565.0,6723.0,45.0,35.0,80.0,1386.0,860.0
395,Nikola Vucevic,12490.0,1980.0,7462.0,49.0,29.0,76.0,633.0,638.0
423,Thaddeus Young,14450.0,2009.0,6465.0,50.0,31.0,66.0,1594.0,447.0
8,Giannis Antetokounmpo,11999.0,2570.0,5252.0,52.0,28.0,72.0,677.0,754.0
142,Paul George,14088.0,2429.0,4450.0,43.0,38.0,83.0,1193.0,308.0
239,Kawhi Leonard,10976.0,1638.0,3659.0,49.0,38.0,84.0,1009.0,366.0
2,LaMarcus Aldridge,20303.0,2083.0,8596.0,49.0,27.0,82.0,755.0,1169.0
186,Al Horford,12288.0,2912.0,7242.0,52.0,35.0,76.0,713.0,1034.0
189,Dwight Howard,19009.0,1627.0,14165.0,59.0,14.0,56.0,1041.0,2182.0
241,Damian Lillard,16401.0,4412.0,2795.0,44.0,37.0,89.0,651.0,207.0
100,DeMar DeRozan,17465.0,3283.0,3791.0,46.0,26.0,83.0,854.0,254.0
276,Paul Millsap,14333.0,2327.0,7517.0,49.0,28.0,73.0,1304.0,1027.0
198,Kyrie Irving,13021.0,3281.0,2163.0,47.0,39.0,88.0,755.0,213.0
181,Jrue Holiday,12108.0,4818.0,2999.0,46.0,36.0,79.0,1143.0,388.0
156,Jeff Green,15895.0,1939.0,5367.0,45.0,33.0,80.0,874.0,637.0
214,Nikola Jokic,7993.0,2604.0,4296.0,53.0,35.0,83.0,505.0,303.0
384,Karl-Anthony Towns,9055.0,1168.0,4622.0,52.0,39.0,83.0,305.0,577.0
29,Bradley Beal,12946.0,2401.0,2404.0,45.0,38.0,81.0,681.0,231.0
244,Brook Lopez,13896.0,1230.0,5295.0,50.0,15.0,79.0,490.0,1491.0
67,Jimmy Butler,11999.0,2725.0,3606.0,45.0,32.0,83.0,1135.0,333.0
97,Anthony Davis,13199.0,1253.0,5679.0,52.0,25.0,79.0,762.0,1306.0
247,Kyle Lowry,14762.0,6227.0,4361.0,42.0,34.0,82.0,1350.0,294.0
157,Blake Griffin,15433.0,3299.0,6255.0,46.0,31.0,72.0,639.0,357.0
112,Goran Dragic,13688.0,4676.0,3055.0,46.0,36.0,75.0,965.0,183.0
140,Marc Gasol,13559.0,3328.0,7194.0,48.0,28.0,77.0,873.0,1335.0
194,Andre Iguodala,13796.0,4986.0,5902.0,46.0,33.0,66.0,1729.0,601.0
193,Serge Ibaka,11743.0,765.0,6743.0,51.0,35.0,77.0,401.0,1842.0
86,Mike Conley,13170.0,4996.0,2636.0,43.0,37.0,82.0,1260.0,175.0
172,Gordon Hayward,10676.0,2399.0,3078.0,46.0,34.0,75.0,679.0,274.0
222,Enes Kanter,10186.0,791.0,6870.0,55.0,29.0,77.0,354.0,397.0
90,DeMarcus Cousins,14508.0,2300.0,7363.0,45.0,28.0,72.0,953.0,826.0
113,Andre Drummond,10745.0,1090.0,9988.0,53.0,13.0,52.0,1048.0,1103.0
415,Lou Williams,17219.0,4064.0,2675.0,42.0,35.0,83.0,1045.0,213.0
39,Eric Bledsoe,10946.0,3636.0,2992.0,45.0,33.0,77.0,1092.0,360.0
273,Khris Middleton,9563.0,2044.0,2740.0,46.0,39.0,87.0,708.0,105.0
398,Kemba Walker,13844.0,3767.0,2682.0,41.0,35.0,84.0,888.0,272.0
21,Harrison Barnes,10524.0,1301.0,3733.0,45.0,38.0,79.0,519.0,140.0
25,Nicolas Batum,9599.0,3099.0,4416.0,44.0,36.0,84.0,809.0,530.0
412,Andrew Wiggins,11183.0,1397.0,2533.0,45.0,34.0,71.0,554.0,387.0
389,Jonas Valanciunas,8560.0,684.0,5999.0,56.0,22.0,78.0,259.0,675.0
218,DeAndre Jordan,9451.0,1059.0,10728.0,67.0,2.0,52.0,565.0,1534.0
400,John Wall,11675.0,5544.0,2609.0,43.0,30.0,77.0,1017.0,425.0
348,Derrick Rose,12460.0,3683.0,2240.0,44.0,29.0,85.0,537.0,242.0
137,Danilo Gallinari,11372.0,1396.0,3454.0,42.0,38.0,88.0,552.0,274.0
177,George Hill,10211.0,2919.0,2831.0,47.0,40.0,78.0,852.0,261.0
246,Kevin Love,13169.0,1730.0,8043.0,43.0,34.0,82.0,494.0,324.0
307,Kelly Olynyk,6222.0,1188.0,3177.0,48.0,37.0,78.0,463.0,293.0
146,Rudy Gobert,6390.0,722.0,5978.0,62.0,0.0,61.0,358.0,1194.0
261,CJ McCollum,9650.0,1663.0,1722.0,45.0,39.0,79.0,449.0,196.0
82,Jordan Clarkson,9865.0,1639.0,2046.0,45.0,35.0,83.0,539.0,92.0
376,Jeff Teague,10933.0,4965.0,2193.0,44.0,36.0,85.0,1000.0,304.0
14,Trevor Ariza,13105.0,2776.0,6149.0,43.0,29.0,73.0,1844.0,399.0
284,Markieff Morris,9532.0,1397.0,4474.0,44.0,34.0,77.0,691.0,439.0
333,Julius Randle,7441.0,1404.0,3995.0,46.0,26.0,63.0,306.0,193.0
124,Derrick Favors,8618.0,861.0,5760.0,54.0,8.0,65.0,585.0,983.0
286,Marcus Morris Sr.,9606.0,1112.0,3611.0,42.0,36.0,73.0,547.0,233.0
119,Joel Embiid,6234.0,780.0,2852.0,48.0,34.0,80.0,199.0,432.0
321,Mason Plumlee,5810.0,1656.0,4384.0,58.0,2.0,58.0,510.0,627.0
245,Robin Lopez,7810.0,736.0,4435.0,53.0,9.0,73.0,213.0,1006.0
335,JJ Redick,13411.0,2197.0,2132.0,44.0,40.0,88.0,467.0,98.0
149,Eric Gordon,11498.0,1967.0,1698.0,42.0,36.0,81.0,613.0,240.0
45,Devin Booker,9065.0,1860.0,1471.0,45.0,35.0,87.0,317.0,101.0
143,Taj Gibson,8629.0,909.0,5664.0,52.0,18.0,70.0,517.0,936.0
231,Zach LaVine,7698.0,1544.0,1549.0,45.0,38.0,82.0,379.0,122.0
93,Jae Crowder,8445.0,1403.0,3723.0,42.0,34.0,78.0,845.0,290.0
152,Danny Green,6684.0,1188.0,2610.0,42.0,39.0,72.0,770.0,588.0
41,Bojan Bogdanovic,8595.0,911.0,2113.0,45.0,39.0,87.0,322.0,47.0
347,Rajon Rondo,9849.0,8037.0,4658.0,44.0,30.0,61.0,1594.0,128.0
306,Victor Oladipo,8607.0,1947.0,2254.0,42.0,33.0,77.0,789.0,231.0
195,Ersan Ilyasova,10924.0,1204.0,5938.0,43.0,36.0,75.0,728.0,374.0
203,Reggie Jackson,9283.0,3222.0,2242.0,42.0,34.0,85.0,498.0,86.0
259,Wesley Matthews,11457.0,1902.0,2652.0,40.0,36.0,82.0,914.0,187.0
131,Evan Fournier,8492.0,1565.0,1597.0,45.0,39.0,79.0,508.0,83.0
0,Steven Adams,5622.0,721.0,4524.0,58.0,4.0,55.0,519.0,568.0
176,Buddy Hield,6850.0,996.0,1846.0,43.0,40.0,85.0,333.0,113.0
148,Aaron Gordon,6151.0,1242.0,3047.0,46.0,32.0,69.0,366.0,313.0
353,Domantas Sabonis,4583.0,1074.0,2936.0,51.0,35.0,72.0,234.0,153.0
